ID,QUOTE,AUTHOR,REFLECTION,SOCIAL_MEDIA_POST,STATUS,YT stats after 2 days
96,"Pokój jest obecny tutaj i teraz, w nas i we wszystkim, co robimy i widzimy. Każdy oddech, który bierzemy, każdy krok, który robimy, może być wypełniony pokojem, radością i spokojem. Pytanie brzmi, czy jesteśmy z tym w kontakcie. Musimy tylko być przebudzeni, żywi w obecnej chwili.",Thich Nhat Hanh,,,,
97,"Umysł może iść w tysiąc kierunków, ale na tej pięknej ścieżce idę w pokoju. Z każdym krokiem wieje wiatr. Z każdym krokiem kwitnie kwiat.",Thich Nhat Hanh,"Myśli mogą wędrować wszędzie, ale ciało zawsze jest tutaj.

Każdy krok może być medytacją, każdy oddech – powrotem do chwili obecnej.

Czy dziś pozwolisz swoim krokom być świadomymi?","🧘 Myśli mogą wędrować wszędzie, ale ciało zawsze jest tutaj.

Każdy krok może być medytacją, każdy oddech – powrotem do chwili obecnej.

Czy dziś pozwolisz swoim krokom być świadomymi?

#medytacja #świadomość #rozwójduchowy #duchowość #uważność #kroki",,
98,W prawdziwej miłości osiągasz wolność.,Thich Nhat Hanh,,,,
99,"Zwykle gdy słyszymy lub czytamy coś nowego, po prostu porównujemy to z naszymi własnymi ideami. Jeśli jest to to samo, akceptujemy to i mówimy, że jest poprawne. Jeśli nie, mówimy, że jest niepoprawne. W obu przypadkach niczego się nie uczymy.",Thich Nhat Hanh,,,,
100,"W każdej chwili masz wybór, który albo prowadzi cię bliżej do twojego ducha, albo dalej od niego.",Thich Nhat Hanh,"Każdy moment to szansa na wybór świadomego kierunku.

Możemy zbliżyć się do siebie albo się od siebie oddalić – wszystko zależy od nas.

W którą stronę prowadzą cię dzisiejsze wybory?","🧘 Każdy moment to szansa na wybór świadomego kierunku.

Możemy zbliżyć się do siebie albo się od siebie oddalić – wszystko zależy od nas.

W którą stronę prowadzą cię dzisiejsze wybory?

#medytacja #świadomość #rozwójduchowy #duchowość #wybór #moment",,
101,Nie ma oświecenia poza codziennym życiem.,Thich Nhat Hanh,,,,
102,"To moje przekonanie, że nie ma drogi do pokoju – pokój jest drogą.",Thich Nhat Hanh,,,,
103,"Źródło miłości jest głęboko w nas i możemy pomóc innym zrealizować wiele szczęścia. Jedno słowo, jeden czyn, jedna myśl może zmniejszyć cierpienie drugiej osoby i przynieść tej osobie radość.",Thich Nhat Hanh,,,,
104,"Mamy więcej możliwości dostępnych w każdej chwili, niż sobie uświadamiamy.",Thich Nhat Hanh,,,,
105,"Cud to nie chodzenie po wodzie. Cud to chodzenie po zielonej ziemi, mieszkając głęboko w obecnej chwili i czując się naprawdę żywym.",Thich Nhat Hanh,,,,
106,"Nasze wyobrażenia o szczęściu nas więzią. Zapominamy, że to tylko idee. Nasza idea szczęścia może uniemożliwić nam bycie naprawdę szczęśliwymi. Nie dostrzegamy możliwości radości, która jest tuż przed nami, gdy jesteśmy uwięzieni w przekonaniu, że szczęście powinno przybrać określoną formę.",Thich Nhat Hanh,,,,
107,W prawdziwym dialogu obie strony są skłonne się zmienić.,Thich Nhat Hanh,,,,
108,"Jeśli spojrzysz głęboko w dłoń swojej ręki, zobaczysz swoich rodziców i wszystkie pokolenia swoich przodków. Wszyscy oni żyją w tej chwili. Każdy jest obecny w twoim ciele. Jesteś kontynuacją każdej z tych osób.",Thich Nhat Hanh,,,,
109,"Jeśli nie jesteśmy w pełni sobą, naprawdę w obecnej chwili, przegapiamy wszystko.",Thich Nhat Hanh,,,,
110,"Jeśli kochasz kogoś, ale rzadko czynisz się dla niego dostępnym, to nie jest prawdziwa miłość.",Thich Nhat Hanh,"Prawdziwa miłość wymaga nie tylko uczuć, ale także obecności.

Być dostępnym oznacza dawać komuś najcenniejszy dar – swoją pełną uwagę.

Jak możesz dziś być bardziej obecny dla osób, które kochasz?","🧘 Prawdziwa miłość wymaga nie tylko uczuć, ale także obecności.

Być dostępnym oznacza dawać komuś najcenniejszy dar – swoją pełną uwagę.

Jak możesz dziś być bardziej obecny dla osób, które kochasz?

#medytacja #świadomość #rozwójduchowy #duchowość #miłość #obecność",,
111,"Szczęście to nasza naturalna kondycja, gdy umysł nie jest zakłócony przez myśli.",Rupert Spira,,,,
112,"Świadomość to jedyna rzeczywistość, której wszyscy doświadczamy.",Rupert Spira,,,,
113,Miłość to rozpoznanie jedności pod pozorną różnorodnością.,Rupert Spira,,,,
114,"Pokój nie jest czymś, co osiągamy; to coś, czym jesteśmy.",Rupert Spira,,,,
115,"To, kim naprawdę jesteśmy, nigdy się nie rodzi i nigdy nie umiera.",Rupert Spira,,,,
116,Pokój zaczyna się od uśmiechu.,Matka Teresa,,,,
117,Spokój umysłu to jeden z pięknych klejnotów mądrości.,James Allen,,,,
118,Nie możesz znaleźć pokoju unikając życia.,Virginia Woolf,,,,
119,"Prawdziwy pokój to nie brak konfliktu, ale obecność sprawiedliwości.",Martin Luther King Jr.,,,,
120,Pokój pochodzi z wewnątrz. Nie szukaj go na zewnątrz.,Budda,,,,
121,Pierwszym krokiem do zmiany jest świadomość. Drugim jest akceptacja.,Nathaniel Branden,"Zmiana rozpoczyna się od szczerości wobec siebie.

Tylko wtedy, gdy widzimy prawdą o sobie bez osądu, możemy ją przemienić.

Czy dziś podejmiesz odważny krok w stronę autentyczności?","🧘 Zmiana rozpoczyna się od szczerości wobec siebie.

Tylko wtedy, gdy widzimy prawdą o sobie bez osądu, możemy ją przemienić.

Czy dziś podejmiesz odważny krok w stronę autentyczności?

#medytacja #świadomość #rozwójduchowy #duchowość #zmiana #szczerość",,
122,"Akceptacja nie oznacza rezygnacji; oznacza zrozumienie, że coś jest tym, czym jest, i że musi być zaakceptowane.",Michael J. Fox,,,,
123,"Szczęście można znaleźć nawet w najciemniejszych czasach, jeśli tylko pamiętamy, aby zapalić światło.",J.K. Rowling,,,,
124,"Akceptuj to, co jest, puść to, co było, i ufaj temu, co będzie.",Sonia Ricotti,,,,
125,Jedyną drogą do szczęścia jest akceptacja.,George Ohsawa,,,,
126,"Kiedy zmieniamy sposób patrzenia na rzeczy, rzeczy, na które patrzymy, się zmieniają.",Wayne Dyer,,,,
127,"Bądź zmianą, którą chcesz zobaczyć na świecie.",Mahatma Gandhi,,,,
128,"Najważniejszą rzeczą jest cieszyć się życiem – być szczęśliwym – to wszystko, co się liczy.",Audrey Hepburn,,,,
129,"Jedyną prawdziwą mądrością jest wiedzieć, że nic nie wiesz.",Sokrates,,,,
130,"Życie to 10% tego, co ci się przydarza, i 90% tego, jak na to reagujesz.",Charles R. Swindoll,,,,
131,W ciszy znajdujemy odpowiedzi.,Rumi,,,,
132,Miłość to most między tobą a wszystkim.,Rumi,,,,
133,"Wczoraj to historia, jutro to tajemnica, dzisiaj to dar.",Eleanor Roosevelt,"Przeszłość już się wydarzyła, przyszłość jeszcze nie nadeszła.

Życie rozgrywa się w tym jedynym momencie, który mamy teraz.

Jak chcesz wykorzystać ten cenny dar dzisiejszego dnia?","🧘 Przeszłość już się wydarzyła, przyszłość jeszcze nie nadeszła.

Życie rozgrywa się w tym jedynym momencie, który mamy teraz.

Jak chcesz wykorzystać ten cenny dar dzisiejszego dnia?

#medytacja #świadomość #rozwójduchowy #duchowość #teraźniejszość #życie",,
134,"Najpiękniejsze rzeczy w życiu nie są rzeczami. To ludzie, miejsca, wspomnienia i obrazy. To uczucia i chwile, uśmiechy i śmiech.",Anonim,,,,
135,"Wdzięczność zamienia to, co mamy, w wystarczająco dużo.",Anonim,,,,
